Overall rank,Country or region,Score 2019,happy,Score 2015,GDP per capita,healthy_life_expectancy,freedom ,Corruption,Weather
145,Haiti,3.597,0,4.788,0.32387,55.8,41,0.18,26.2
146,Botswana,3.488,0,4.332,1.12299,53.9,72,0.089,21.8
147,Syria,3.462,0,3.006,0.74722,62.9,0,0.11,19.6
148,Malawi,3.41,0,4.292,0.19173,57.1,64,0.1,22.4
149,Yemen,3.38,0,4.077,0.54649,57.5,11,0.141,27.5
150,Rwanda,3.334,0,6.411,0.22208,60.2,23,0.089,20.2
151,Tanzania,3.231,0,3.781,0.2852,58.5,45,0.077,23.8
152,Afghanistan,3.203,0,3.575,0.31982,53.9,27,0.411,12.8
153,Central African Republic,3.083,0,3.678,0.0785,46.4,9,0.147,24.8
154,South Sudan,2.853,0,4.271,,53.7,2,0.025,27.3
